싫다
싫어하다
메스꺼움
역겨움
혐오
혐오감
구역질
악화
부패
타락
사악
질병
질환
병폐
불결
음란
불건전
더럽다
더러움
불순
음탕
외설
노출
추행
추잡
죄악
매춘
매춘부
문란
쓰레기
지저분하다
상스러움
불경
불손
세속
모독
천하다
불쾌하다
난잡하다
음란
외설
선정적인
비천
불순
불륜
간통
방탕
모독
방자
무엄
난봉
방종
낭비
추하다
추태
쓰레기
폐물
폐족
해이
느슨하다
태만하다
오염
감염
부패하다
오점
변질
변색
무절제
무분별
훼손
모독
부도덕
결함
착취
왜곡
변태
오용
훼손하다
폐허
파멸
파괴하다
착취하다
이용하다
배교
배신
배신자
변절
변절자
탈당
탈당자
이교도
이단자
이단
