타당하다
공평하다
공정하다
온당하다
올바르다
적절하다
적정하다
공명정대하다
정정당당
정직하다
정직
형평성
페어플레이
평등하다
동등하다
동일하다
정의롭다
올바르다
옳다
상호적이다
호혜적이다
보답하다
화답하다
균형잡히다
평등주의
바르다
균등하다
관용적인
관대한
아량
상응하는
상동한
온당한
타당한
솔직하다
솔직
