불공평하다
불공정하다
불평등하다
불평등
부정하다
부당하다
선입견
편향
편견
부조리하다
불의
고집
불통
편협하다
차별하다
불균형
편애하다
부정하다
속임
사기
거짓
사악하다
비도덕적이다
파렴치하다
분리하다
분열하다
편파적이다
정실
격리하다
추방하다
배제하다
제외하다
차단하다
