복종하다
순종하다
따르다
준수하다
고분고분하다
충실하다
좇다
의무
본분
직무
직책
의리
업무
법
법률
법규
법정
적법
준법
합법
예의
명예
영예
고결
정직
지조
존경
존중
정중
체면
영광
특권
신용
신의
도의
경의
예우를
공손
순서
차례
정돈
명령
지시
질서
체제
계층
규칙
아버지
아버님
부친
가부장
부모
어머니
어머님
모친
모성애
부모
부모님
모국
양육
보살피다
전통
인습
관습
고위
고관
권력자
위계
권위
권한
계층
계급
지배층
권위
권위주의
권한
허용
고압적인
위압적인
허가
용인
묵인
허락
승인
허용
등급
서열
신분
지위
위신
지도
리더
리더십
선도
이끌다
위치
입장
처지
명령
지휘
지배
지고
최고
패권
우월
우위
항복
굴복
유순
충성
서역
맹세
섬기다
봉사
숭배
경외
추앙
공경
경건
숭상
영도
권능
보호하다
보존하다
유지하다
충성
충실
충의
충심
