안전
안전하다
안심하다
무사하다
무사
무방하다
평화롭다
평화
평온하다
화목하다
화평하다
연민하다
동정하다
인정하다
공감하다
이입
이해하다
측은하다
동조하다
돌보다
보살피다
염려하다
걱정하다
조심하다
배려하다
상냥하다
사려깊다
보호하다
지키다
막다
보호하다
방패
피난처
보호소
보금자리
우호적이다
친하다
방어하다
보안
경비
안보
안도하다
혜택
이득
이롭다
유익하다
수비하다
변호하다
경호하다
경비하다
보존하다
유지하다
보전하다
