반체제
반국가
반란
반란자
반란군
저항
불복
불복종
반항
도전
반역
폭동
폭도
반대
이의
이견
알력
갈등
전복
뒤엎다
타도하다
무례
결례
실례
위반
거역
선동
난동
불온
동요
흔들다
소요
시위
운동권
불법
무법
범죄
반칙
불온
불충
불순
무시
이간
탈주
저지
방해하다
이교도
이단자
이단
대항하다
항의하다
이의
거부하다
비난
폭동
소요
배신
배반하다
모반하다
등지다
매국
매국자
매국노
반역
반역자
불충
불신하다
역적
대역
반란
반란자
거짓되다
기만하다
배교
배신
배신자
변절
변절자
탈당
탈당자
탈당
탈당자
버림받다
탈영하다
탈영병
탈주하다
탈주자
