외국
외국인
이질성
외국산
외국계
해외
적대하다
적
적국
배신
배반하다
모반하다
등지다
매국
매국자
매국노
반역
반역자
불충
불신하다
역적
대역
반란
반란자
거짓되다
기만하다
개인주의
개인
개성
이기주의
개별적으로
각각
따로
독특하다
배교
배신
배신자
변절
변절자
탈당
탈당자
버림받다
탈영하다
탈영병
탈주하다
탈주자
속임수
사기
사기꾼
협잡
협잡꾼
농락하다
농단하다
사칭하다
사악하다
악한
악하다
범법자
간첩
스파이
이적
격리하다
분리하다
압류하다
압수하다
변절자
변절하다
이탈자
이탈하다
테러
테러리즘
테러리스트
이주
이주자
이민
이민자
버리다
포기하다
유기하다
내던지다
파렴치하다
넘겨주다
