,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
Ingroupmean,,,0.024441936823938148,0.0226973914643207,0.03408054488638282,0.036171986105874764,0.02423899681577138,0.02270737115812119,0.02300272421334982,0.022884881944603266,0.022618911196478422,0.02164880431021704,0.023474370482211095,0.022689010548670077,0.021721615128334697,0.01720724996692133,0.028841958801365367,0.02643004817455479,0.0210803161986879,0.024454623226908077,0.02009462838282797,0.023572171530047172,0.020622019212864516,0.020454495296063645,0.027402664442047624,0.024710683876543838,0.021071039087936314,0.023228256421248056,0.022003996568106164,0.021060232776558104,0.021387719992892053,0.015813329601307644,0.013274646785288155,0.02093314292921405,0.020274326303726078,0.024361283589922473,0.023593632717356688,0.023900094744379943,0.024432045633560495,0.0195068911904032,0.02092163372287364,0.016716705214558383,0.018832621678357205,0.020319758861349506,0.020662627742049137,0.01993140939536428,0.02931775897267793,0.030336817924036252,0.027114904212063452,0.02103713631098609,0.023487891070181056,0.019353510640257993,0.016526225314366712,0.02257031389671989,0.02221860920732221,0.019214723593500942,0.020085413580959003,0.022117811373289626,0.02603989629772162,0.02405714932208166,0.021309994912457563,0.023069316676430213,0.02172041883789324,0.022722982580932465,0.023272763812668663,0.02011783829611426,0.023967118333287636,0.02583852670943216,0.02358641448310251,0.024340108045876566,0.022067985885556484,0.023210393959476792,0.026614572393500676,0.02586430241576782,0.028013441578263885,0.02854353951007258,0.02687489799500856,0.028725918639267666,0.02534192137234272,0.021183967029398364,0.021728415763666614,0.021038654716968034,0.021895384503358206,0.02409203567004596,0.02189890676606503,0.02641740488460412,0.02330744083699491,0.02024959956918111,0.02249853586332299,0.026507136284406204,0.02379809866671179,0.019928021030747253,0.02354972964023034,0.024039415594659604,0.02412516375052313,0.02181785471199523,0.02153999657679434,0.027715819518117572,0.023100011504809177,0.019313049115426018,0.020581534360706314,0.02247412145265007,0.022344466341134912,0.024514967251581643,0.02434176859702475,0.025497932612568806,0.034507787091035726,
Ingroupse,,,0.0009167264269432265,0.000963147193426753,0.0013239787108111228,0.0012970766071814413,0.0011059761108474168,0.00103911003840487,0.000993940173649046,0.0009324387876523942,0.0010611193831803957,0.000928429841775254,0.0011649326248264823,0.0009407064656890177,0.0011301112016997396,0.0007420061301596475,0.0017062283646410094,0.0010353696733249606,0.0008954364699994478,0.001165082898782283,0.0008494982112032807,0.0011082019751728178,0.0008974675843366988,0.0009514313228963533,0.001475764055162366,0.0012195103782692963,0.001059039603498203,0.001248676581138386,0.0008124505790528589,0.0009642938385665389,0.0008416473344076661,0.0009451456288570771,0.0009276859269292121,0.0011093213675677886,0.00085847954048255,0.0009906087769091666,0.0014692250457735564,0.0011594537994519248,0.0011678702579289003,0.0010882632065227493,0.001200726002788068,0.0010183040299004784,0.0013130939626396093,0.001190005228324153,0.0011436538722906001,0.0010552864804714316,0.0016181636280361022,0.0014649249407068365,0.001697402615717217,0.001234254915791905,0.0011214199123305644,0.0009665470480267379,0.0008241861954853914,0.0010006621219876633,0.0010582226012043915,0.0010066545335379361,0.001031387816156119,0.0006692991851760333,0.0006553337045920675,0.0007870927521753441,0.0008854063657231927,0.0010018508510821092,0.0008265076477042551,0.0009506904949101642,0.00117951692625674,0.0009023922882237035,0.0011828484220251117,0.001055058852464284,0.0009293243901961695,0.0008630168031741628,0.0009157573503406172,0.0010753243844156036,0.0010198853422888742,0.001009742755440877,0.0012115939610797077,0.0013821582121811774,0.0010189629461130906,0.0014254065214073755,0.0009873634796313006,0.0014193556873279035,0.001033604946691497,0.0010235944489926493,0.001029459551820772,0.0010001300001026433,0.0010948436559315535,0.0014906106787894735,0.0010022463295893368,0.0009433205456272971,0.0011870180161149934,0.0012719219199592022,0.0012232909645780317,0.0010259532481707823,0.0015694026110792526,0.0009651728615645188,0.0013489379242148727,0.0014469374434737416,0.001193263299243054,0.0019593958963909177,0.001620913430565662,0.0012315412714734234,0.001382780331950901,0.0012996297574868812,0.001194167375369624,0.001223119129340262,0.0010822559573141258,0.0011081940691572572,0.0012487586719718325,
Authoritymean,,,0.01699282766959955,0.019170911776265155,0.01650446929748809,0.016987835709524456,0.016612843703374288,0.01853717754295786,0.017065275775112455,0.017514136236031423,0.016972309818748508,0.019661942027238487,0.021313355047484828,0.01835856781765968,0.017693874627202625,0.015036437331138054,0.018083209485164915,0.015561956614722577,0.02081554564371693,0.017164085130573412,0.01740500033226756,0.01648253481444914,0.017605568407722285,0.017322024153807812,0.018251720172551462,0.014007702794887764,0.015526922689823336,0.016197951983956446,0.01314427328783994,0.018504351303089063,0.019555217854002584,0.019324895439432117,0.020419718678169597,0.021690200917554935,0.02187448951235489,0.018241945974885536,0.022499491332379266,0.020537285380972402,0.021072613495085216,0.016574748461095103,0.02128620867706217,0.02373763077058284,0.022441532550582302,0.023816533773597107,0.014199184959129961,0.015826607694166613,0.022790490852216252,0.02160550046675583,0.025997995444546434,0.021326809597284366,0.01607211931589102,0.02021500824729996,0.01692629262437703,0.02243356641675749,0.019302046233919533,0.017008519005585282,0.01878863951952956,0.012314447943980643,0.014388120492063245,0.013268978065626632,0.015001477264060753,0.01523468960158651,0.01852087431456292,0.017714512681665146,0.016843120908033294,0.01760640245996887,0.017448612941185975,0.01499227990053024,0.014542093226634151,0.017659589883135287,0.016028571126795337,0.01799626429435656,0.01535735334593229,0.017312677501261076,0.016726512024325447,0.013119502888026505,0.012645757091461294,0.013441047066343645,0.013553033919882225,0.01405386846770974,0.015268041050029007,0.013873243644259754,0.014095764109070241,0.012758903105431594,0.013660434732091628,0.016419108268065676,0.014850929106576835,0.013180857683699036,0.016902048381101393,0.013509521228312279,0.016157740611447483,0.014820852888796015,0.015569847481639164,0.01710932772047768,0.019688050180149814,0.021327671872479265,0.017574217234772996,0.01624187792451935,0.013058811339687048,0.017126663051301862,0.016022678329009436,0.015451680147528448,0.017083998739593844,0.015547758387390045,0.016998668462257425,0.01571693370853089,0.01740997555874447,
Authorityse,,,0.0007875507481497849,0.0009710643518506155,0.0008747971613268816,0.0007919384704505544,0.0008081105018474476,0.0008907601045276866,0.000904352566481317,0.0008425611478741979,0.000903907921907806,0.0010135618475420652,0.0010622241073650215,0.0009745748485505153,0.0010861305876700648,0.0008332417392633781,0.0010674370510486116,0.0007695120676369827,0.0008957764352479459,0.0009271674437404357,0.001026526641070497,0.0009358995357695503,0.0009142836358325545,0.0008087887639907897,0.0012472005926993477,0.0012392222780320797,0.000883874005027966,0.001098278836295489,0.0005851018576508504,0.0010724506336631928,0.0011509239546215956,0.0011226199380990423,0.0013898297105192524,0.001260117050325595,0.0010020164356367189,0.0008844162253012192,0.0015993595849942482,0.0015921062133296905,0.0016938727449924457,0.001160773904987735,0.0015449366709287611,0.0014216091452432685,0.0015197791816277464,0.0015561237390864212,0.0008552117945044768,0.0010486909789951047,0.0014220840931579552,0.0012526034661013256,0.0015806435110832732,0.0014333660990506311,0.0009943201065617299,0.0011532511237305428,0.0008421494151963353,0.00124321583477644,0.0009662565885376631,0.0009778319286577971,0.0011676954203023737,0.00049276189104133,0.0005204692063943783,0.000518087097207408,0.0007803174239574982,0.0007543340061318849,0.000830342225981481,0.0007208095378017963,0.0008308492393718839,0.0008023429908401574,0.000794917449357285,0.0006675272580800283,0.000716642117470624,0.0008368070351268127,0.0007039606847566289,0.0009230446440233836,0.0009735084263500468,0.0009708573315517207,0.0008559103815201519,0.0009228401729935921,0.0006348437112798797,0.000721408013632794,0.0007047473508051323,0.0009341894911185756,0.0009190299783188886,0.0007487567516939334,0.0008012889138372621,0.000632986392209998,0.0010121356083322844,0.0010057785070813848,0.0008185039715128095,0.0008009812444396434,0.00092993209848916,0.0007959917375713693,0.0007694576418111603,0.0007509126514734514,0.0008557863278846206,0.0007010707131520976,0.0011527067422189869,0.0015155483486214585,0.0012455600622601757,0.0011887611200677589,0.0010839123628307481,0.0011711791589402514,0.0013577639911101936,0.001047741149075074,0.000957203454061082,0.0008295391466434392,0.0010162158599415082,0.0008362856031212481,0.0007646446426846707,
Puritymean,,,0.004544659385564657,0.003717029371107349,0.0038808593833878887,0.003194941695859214,0.004156279580106844,0.004628442012785071,0.004962143916450167,0.004612778073952332,0.0037088398677633753,0.003841897062817,0.0034777899661754133,0.004333582274887361,0.00346330919852438,0.002780139060569333,0.00323714518283451,0.004303426150569055,0.004663401418594288,0.004344217655140548,0.0035607637981644896,0.003422270094428586,0.0037832949477057576,0.0036372102739803463,0.003224596273117063,0.0032822228390584603,0.0045231717465788945,0.003564180560919839,0.003086828971251278,0.0031620394617956717,0.0028780376135171793,0.003253212129720509,0.0019416975838645618,0.003268225117742038,0.0028565879631134348,0.0033192660107265086,0.002453513892573085,0.003649241586809799,0.002177365502527745,0.002483102119283127,0.0022492698049999117,0.0020679558467373706,0.002530793417904942,0.0033645348707464847,0.003353427830139943,0.003035468431342439,0.0028153226346906124,0.0032142307610599076,0.0021862256578753713,0.0026046062410910085,0.0035623475117717352,0.0032829930253930363,0.00207070592606012,0.0029615773222631306,0.002688520354150302,0.0030586043242984504,0.00294284329403789,0.003338205453692746,0.00345645500268159,0.003149654522165267,0.0028986198172220225,0.0036108302033257883,0.003364317405728973,0.00413867971403241,0.00367513382438563,0.004994344989649528,0.0034335426102147107,0.004214133265132128,0.0036929966458141205,0.004575700217886656,0.004918948741909498,0.0034856741772051314,0.002772945044724956,0.003948619073823199,0.0033241286470396983,0.0032802453463987437,0.0034312327935608,0.003968522141053108,0.0024996266549678014,0.0018855556399366095,0.0029501372042865497,0.003276302778378257,0.0030616149701307212,0.003388026181771076,0.002850505923240225,0.003217823374068274,0.0035398068494279828,0.0041786746092202995,0.003087721825367617,0.004229166893372944,0.00358189510341107,0.003426637221388043,0.004093003736538864,0.00337555730122252,0.0030131588772106892,0.00316005944561565,0.002568789677182949,0.0034896380073803713,0.0030572396366905256,0.004346342107726395,0.0037539588924706204,0.0029193381078710156,0.004026259421129734,0.003872589013651254,0.0030179171362542563,0.002988761331383312,0.0034730417883021203,
Purityse,,,0.0004324867647610666,0.00032175591395788036,0.00044161862511658514,0.0002767577166949297,0.00038234218081959685,0.0005241668913145611,0.0005455135628914692,0.00037647824813647927,0.0003734301694415298,0.00033355845963979147,0.0003543850482852454,0.00043191930671882217,0.00035714287949004705,0.0002746077404028714,0.00039940046861250005,0.0003955145412678451,0.00038768007929315543,0.000557680853564238,0.0003508385298912273,0.000320087415720017,0.0003925187558872657,0.00041296924667167317,0.0003643290466110526,0.0004840019131848581,0.0004321160687929286,0.0004051820129971581,0.00022681120234494678,0.0003325029672446304,0.0002959968987331806,0.0003032801672666536,0.00025787238284605355,0.00036036904368553986,0.00024046013736421867,0.0003066522130559556,0.00029657606348602563,0.000439614539264327,0.0002126885240250784,0.00026715692453556605,0.00025936090860814097,0.00023703984999872853,0.0002907839384559897,0.00038782882832899903,0.00029406862081270667,0.0003364090323096427,0.0002986182340444373,0.0003307540547972491,0.0002808300564142061,0.0003243139496993577,0.0004355444465480246,0.0003059837774074161,0.00022340091350790803,0.0003108854833021458,0.00023136012997374803,0.0003476023409301807,0.0003085256516159643,0.0002434505516334557,0.00028009746682346767,0.0002658648581967499,0.0003297069269346257,0.00036752334464563183,0.0003216577904406126,0.0003407979574232057,0.00034605872462795497,0.0004628065000592226,0.00027101727509362894,0.0003999378992532347,0.00035317844077856425,0.0003440041371709787,0.0005851238713494608,0.0003101457435399768,0.00034370822681683,0.00035393891367771295,0.0003136957821181491,0.0003492937589256029,0.00030730064279138527,0.00032185114374671283,0.0002276624966651399,0.0002885015043680138,0.00032589770275783284,0.0003708181827536962,0.0002890728716631985,0.0004582920429247559,0.0002584751992618981,0.00031777932425606045,0.00040904690440920626,0.0004601506290915869,0.0003825445980423078,0.0003930092100150782,0.000329596904434005,0.0003364506491331624,0.0007567726542147175,0.00030954028971982107,0.00026878252135116045,0.0004271267704329366,0.0003572275356427573,0.00048031496851984003,0.0005025046735926757,0.00047111567926055213,0.000661213885930278,0.00032851135436160806,0.000534945968621195,0.0004500683784422293,0.00032405086574336967,0.00025320791332680896,0.00028896477612542457,
