,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11
Fairnessse,0.004417101431263731,0.004825529924701678,0.004234658974569911,0.0043575404988558724,0.0045708910158322015,0.004116344330235057,0.0038829873679000065,0.0044506795267570225,0.0044255611771733885,0.004033837297119743,0.004121744565731226,0.004306341777728164,0.004063696893888398,0.004289245113722897,0.004364253415709473,0.004025082070500211,0.005629663127918269,0.004018420170915579,0.004173023534797231,0.004537022813992516,0.004282742110846829,0.0040818307546658895,0.004194231759757256,0.004873086050145552,0.0051516949853647265,0.004918053393458559,0.0050588320052307265,0.004254881320684521,0.00326249215816661,0.0051990053590712975,0.005167867955809682,0.006654829417844047,0.005632699454485783,0.004496845573209462,0.00393311431547254,0.0038244715675208704,0.0043846924449716445,0.004809585583008937,0.004201794356701858,0.0035873150490052788,0.003967961559281587,0.0040354522820153045,0.005385292816193185,0.004453765053191441,0.00446224724093661,0.003904898123685212,0.0037977342819209294,0.006325857566264321,0.006567892601023585,0.005115489910441388,0.0035556170958856693,0.003771498187414392,0.005294973534445984,0.004490762662928714,0.004264433829246266,0.0048305947153532,0.004168262582557597,0.002649501610604512,0.002158060926531209,0.0022502764620546327,0.0061547926847237856,0.006564162348761686,0.006024300015159427,0.0053541628681864645,0.005489790084229901,0.005064662584025313,0.0055721152913246474,0.004770381537297147,0.004900128240307907,0.005104447260599469,0.005067527791546877,0.004689260479722145,0.004862530105753882,0.004311558400921463,0.004181414631767131,0.0050386084243630325,0.0036728803976411057,0.00496322363775851,0.004397662605735266,0.00474536281474625,0.004682341817751267,0.005060272458060917,0.005154861966898879,0.004208753318643743,0.005447229615227807,0.005138431162338833,0.005006357504895637,0.004807133873623858,0.005355558388657499,0.006439144380282731,0.005687979711327754,0.004827555066227775,0.005332755190642524,0.004681930585698291,0.005026394077965459,0.004538395839783315,0.005368492304249018,0.005546416324653679,0.0066404686813761145,0.0037195154282160803,0.010372500240999989,0.0054187155366535854,0.006660892846510452,0.00563356968289332,0.004778660742822321,0.004461653028051354,0.005151288119602893
Ingroupmean,0.13497641423587864,0.13563354697863428,0.1314126655765703,0.128599543270233,0.13589700577113237,0.12800120799447529,0.13704172896449865,0.14405438451014008,0.13340796647928263,0.1260444764001145,0.13476736490290678,0.12546860422443837,0.13288057493416078,0.12184604549786163,0.1382219662690561,0.1363540403511262,0.14994424101982384,0.13312848492537252,0.12510852467051864,0.13919186602779537,0.13161371054610552,0.1399410610352705,0.11694930080494148,0.10980292616894344,0.13283846946559388,0.11134983585223357,0.13830623221672375,0.14914065577164698,0.1438913194296509,0.14563880437648233,0.13278328136386097,0.1375850566046493,0.12704605637588506,0.12134223595431638,0.13664812303582022,0.13255073447851345,0.13628260512678497,0.13069673101335394,0.14231456578238647,0.13503399174684308,0.12763110780072737,0.13061978495421153,0.12437951656760877,0.13664036675426547,0.13264165359635255,0.125241455894172,0.13339609592239832,0.13736158009982033,0.12275649064245003,0.11986181259643129,0.12913534582368014,0.12140200732530354,0.13410282609870564,0.14073218179911196,0.13954552554659974,0.1419859179154517,0.1212815878164943,0.1308305877220446,0.12747229475957553,0.13651452420343022,0.13152766721896,0.12931739093032205,0.13055276247939118,0.13074721773798942,0.12955132669050712,0.13699225174141258,0.1297205009038536,0.1175990945936049,0.1252312265549441,0.13116373542143153,0.13208715583050643,0.13900039518726667,0.13275730734206995,0.13765719998051645,0.1346038936416688,0.12888427802510452,0.13267502706496978,0.1439751240785354,0.1354403741712104,0.12791259819212042,0.12948694768407606,0.13959850495634776,0.12043015822416409,0.1143908622643597,0.12522613231574012,0.12034677859063703,0.1098467349913178,0.11167367085107147,0.11887847224501312,0.13794995811725602,0.1284727920712497,0.13929790113878215,0.1316595919761695,0.12465442286494482,0.1279459096622593,0.11414615356456621,0.11831376940423981,0.1402508541572994,0.12761047711154186,0.12850004984330965,0.12580305717141135,0.13121178165610706,0.13429641205950957,0.12827088423522218,0.13311701555328964,0.13587758210322484,0.1367987394781059
Ingroupse,0.004117681720809019,0.0047509592014575806,0.0049754753093474435,0.00456353494878666,0.003918534706685569,0.003933462875387797,0.0036886395812180182,0.004200405512600756,0.004339569855980948,0.004205969780670721,0.004542357539260904,0.004953174432105719,0.00436561871896473,0.004193268350095894,0.004231637642000472,0.004217414151663818,0.005689923369921647,0.004454820023655152,0.0043277826415595915,0.005008598241907031,0.0038710457898018815,0.0037053357143144307,0.0041702962902872625,0.004952968221179041,0.005058414922214625,0.00491290998569743,0.005097910647942601,0.004468178748643854,0.0032188014364614146,0.004964178222640254,0.004741770615006394,0.005252191418998774,0.0054282674981169,0.004998892919402897,0.0043105596563446456,0.00422450543444159,0.003838050420419858,0.005311608042792436,0.004083498526366811,0.0042675633951365305,0.004425722430348421,0.004036069778696091,0.004596914277026182,0.0041373502312167364,0.004517108154668804,0.004265511258869323,0.004097674763478749,0.006547606057316555,0.006679895203822186,0.005179267549432966,0.003819432332954747,0.00364076226143873,0.004904272203179763,0.004481761336889044,0.003940626831919313,0.004688381625416464,0.0036538386564329358,0.002661297394820416,0.002081927198859147,0.0021821106970754648,0.006507430388717828,0.00486500820073915,0.005528595511204644,0.00529727177711725,0.005241022345432822,0.005432221883940533,0.004479493208186088,0.005058578222456325,0.004361973201115893,0.00460431485488247,0.004724336204270138,0.00456394385618537,0.004471855318801846,0.004451445879664963,0.003666559391315906,0.005468571319157913,0.0035113842248462247,0.0045694726724687385,0.0038036061311216857,0.005137868000202559,0.00432561044076517,0.005054261303456561,0.004859654954130495,0.0036814447238496858,0.0052460971058928075,0.00490292240378572,0.004776459934143548,0.0045205425642862365,0.004704888637499439,0.005308449154453638,0.004886912840307723,0.004785896468991709,0.0049399771457310756,0.005045517378329207,0.0047095171081757235,0.0043699518466767855,0.004973856094263612,0.005798158401983979,0.006822572981368242,0.002804688930418618,0.015880046540497808,0.005866915988932218,0.0068483651768698256,0.005641823650858322,0.004943877770629759,0.004664661979680088,0.005613364202208753
Authoritymean,0.13999164711881426,0.15097252264593491,0.1505729386030023,0.14020278964815736,0.1435975439389841,0.15368006241450036,0.14162252874554274,0.15246174618113917,0.13688811826921765,0.12268681534544025,0.13683669547535102,0.1484688674378454,0.15070645451597414,0.13600940417983712,0.1454903630373717,0.13560260246839703,0.15414758447507268,0.1427128010534744,0.13953789356115273,0.14130501281830835,0.13828038389003783,0.12981373770936036,0.10972839703923552,0.11428746439306135,0.1391073916561207,0.11571519955896348,0.12619595761280705,0.13858817659501105,0.14516699432910454,0.13960127668597844,0.14149654268784184,0.1413512782418205,0.12604170036572387,0.13118646124580197,0.14561831080441168,0.14085846604972954,0.133001945619569,0.13282339146273842,0.14128402565420234,0.14051544429266302,0.13363679730605618,0.1365533813635698,0.1271643440489764,0.14542348093245341,0.1352466745830563,0.13391868664560908,0.15824998024118608,0.1469635566522968,0.12513933687236792,0.12864961465261537,0.13550213022652743,0.14094099135930474,0.14370868633811482,0.1447869703917078,0.15563858298502675,0.14786472153446995,0.1260156492619169,0.13058905031517423,0.12983555400963095,0.12856761370791578,0.13223885666558582,0.13806562672622963,0.13046196064728988,0.1367956700774518,0.13711106773389295,0.13289374781719152,0.12585621829386845,0.1281588130524716,0.13250905321338902,0.12791496936960914,0.13431472979326897,0.13969990199204155,0.1369351887222129,0.12770139164238356,0.12960637006200557,0.13139621720892597,0.1367816471445124,0.1579652493157042,0.14413691917554466,0.13695152144605216,0.13813352073815693,0.1419959534823922,0.11889489558891293,0.11020197421552287,0.12556410844873384,0.13421314908587856,0.11409697738997795,0.12483610011486271,0.12870825423604138,0.1326706417112052,0.1142069331823967,0.12998000434263215,0.12282682073817015,0.11966379990740457,0.12942478783802033,0.13333377209898384,0.13084312196058406,0.13568053147986228,0.12229820737558787,0.1394782930509428,0.14150364077180394,0.13683904876216804,0.13577623265109484,0.13268342309125114,0.1299436344916241,0.13575525824888932,0.1669655935230879
Authorityse,0.004395764789960179,0.004892331226378666,0.004837215890472813,0.004769907426482685,0.004401219920126634,0.004464377331812559,0.004278729313131641,0.004500135236653962,0.004716714156142671,0.00466342442169137,0.0046503653515537514,0.004808459526758973,0.004807870691911014,0.004916653377049595,0.004809406017305847,0.004332911698942887,0.0066176434349208705,0.004185536133976576,0.005040002870761616,0.004768328315239955,0.0040079193109970835,0.0037761940210585833,0.00474547357978541,0.0049339459134734665,0.005840936971665034,0.005035991492393535,0.005526898970404118,0.004952952331978617,0.0032435460185649906,0.005398050740578971,0.004743878001691721,0.006324933638182679,0.005867899527861771,0.005093154491337415,0.004112640259222238,0.004254158557220361,0.004604093693351829,0.0041760794299649006,0.003922694993520892,0.0040489642258050036,0.00480191815628445,0.004177297626479544,0.004889770662360986,0.004317166916423915,0.004601276101044324,0.00402488706668785,0.004616787675704072,0.006455293069475185,0.007751022442656712,0.006089689289484842,0.004513976181175717,0.004153040264098069,0.005831547734030626,0.004689669072982944,0.004275841705150559,0.004824121520642639,0.0036484984706399944,0.002764798710662103,0.0022660037161724993,0.002424158937073991,0.006968662379606474,0.006666973812399712,0.00569276631047978,0.005550796841364311,0.005044666772281051,0.004007168016127709,0.005159183573697508,0.005436882900402603,0.004808015059683665,0.00452313274685589,0.0051231297297197375,0.004234784945371618,0.005487163324053813,0.005274027795042097,0.004005933709978557,0.005600326207475714,0.0037527819807898198,0.004370630549440978,0.0040443827400527856,0.004991389017173103,0.005014760788626692,0.004666664015131172,0.0046191126281089024,0.004444059290231359,0.006113925489275871,0.005028937070501151,0.0052577684893112256,0.0041757418753401035,0.006105252795045097,0.005512940807154415,0.006310887733666359,0.0057550363187884755,0.005547643350470337,0.004855035728088633,0.0054675273406509664,0.0053345649396651235,0.005508104815513367,0.006316338735574853,0.006902052383614817,0.0030005433574433167,0.01533501935796225,0.0072457812551688875,0.0065185867736979805,0.006044253772928718,0.005103883842064969,0.004791204626470394,0.005723190713710204
Puritymean,0.15598909846444356,0.15841615909379061,0.16666231480916488,0.14835868836914834,0.14672432732989957,0.1479790874756507,0.15105344531178305,0.1617515387599348,0.1463177278564247,0.14748223990035833,0.145621304408807,0.14383170965060849,0.15369771432357954,0.14886464167736785,0.1539106550058677,0.1427080964943296,0.16099962057829417,0.1489242619265684,0.13988456962995716,0.1504538955291284,0.1518939319049295,0.1580767373347424,0.14297273504336203,0.13852300424237105,0.15105156700024103,0.1279483298636388,0.14974176882013354,0.1623835822643426,0.15245812462025726,0.14489054857469502,0.14964444886942035,0.14633786551676414,0.14734057935150457,0.13829931031505324,0.14442753429456553,0.15336528847176664,0.16315776997264517,0.1368720187541425,0.15191958423529178,0.1560177349956553,0.1392423595308993,0.13650965414125835,0.13175178147674074,0.1467111504980866,0.1470401065413021,0.1514966671336282,0.13930658619339817,0.13980380042173068,0.13093242809020086,0.13798698344231156,0.1484158189504065,0.1514739170695247,0.14728988355088124,0.14011936077292592,0.14308947022718882,0.14457574086626176,0.12937097289770264,0.14161988589371022,0.13841677201531125,0.14207988811750533,0.15054377303240318,0.1481604015272206,0.14379431235490445,0.14144398501011293,0.14645191230625249,0.13823474250237083,0.14460882253522447,0.13117457237080507,0.1345420239707555,0.13761857726977816,0.13690201882028147,0.14441500266338786,0.14979537349342142,0.14167070335917936,0.1318355770460299,0.1446509741222029,0.1561867334032944,0.15998893615182494,0.15403644505604097,0.14340002386829728,0.12960413826022565,0.13949785359489164,0.11735336384471187,0.12183659494445713,0.15362053314769972,0.1478023441126019,0.12918052989025725,0.1393079412643636,0.13226987295242632,0.15688318044360852,0.12227680445426341,0.1353424877538985,0.12881966557071137,0.12614180386906665,0.1297318052363928,0.11491624009166639,0.11437330573838193,0.13259681396797643,0.13790861450048691,0.13709731350156565,0.11792775159031525,0.1388181926686637,0.14052651176346537,0.12330348861833976,0.13459964508311795,0.14751017167339173,0.1524274760454721
Purityse,0.003987235672114707,0.004912399433048532,0.005075458967030228,0.004752106746282461,0.004199126584360901,0.004049466053249629,0.003961695156193481,0.004815811397139215,0.0043092606005384875,0.004553241764454596,0.005836953894885383,0.004779026270917132,0.0046356634125497434,0.004844664137051267,0.004795796623540396,0.004753935278045771,0.006647791790289011,0.004308813769831486,0.0047694737656103145,0.005011370552462269,0.00431360007749259,0.003923407058842466,0.004338781935135536,0.004823904580252919,0.006295476758006396,0.005431904541204961,0.0050306341990766085,0.0050710608681134245,0.003200459079876885,0.005355901854924111,0.0048971112197644835,0.0074696199886425925,0.0053910658199948485,0.005158988869309642,0.0041761155120822865,0.003988810284230418,0.004124151787054701,0.005219031106041998,0.004006024677771233,0.003675206930219523,0.005213208694360503,0.004046425907330207,0.005158437806318411,0.004791017087862035,0.004650344993375361,0.003925187779342094,0.004049275500697234,0.006181412280658581,0.005925324792462713,0.005728487671376549,0.003720271207456669,0.004093786377089312,0.00496723896186622,0.004666920840285913,0.004154150895726451,0.00421589088054287,0.0037836761578608547,0.002783978589119517,0.0023039740382096367,0.002485660070833164,0.006368420143731573,0.005246818733762241,0.00512692599032881,0.005356433877403484,0.0054704103852474565,0.005490250348316794,0.005548272425049042,0.0058007174972979645,0.004207454429663731,0.004799584874235324,0.0045954639568599525,0.004431892185061938,0.005970702796901158,0.004756605610447067,0.004412667817528102,0.005825360049064927,0.0035766169064575582,0.005170525502947186,0.003926760201895608,0.004966409445623747,0.005259507287844076,0.005810424380683784,0.0048417006771492134,0.00460139194590857,0.004881970121458233,0.005093243505961807,0.0046632218926496135,0.004116766686900223,0.006329459576926153,0.005077233739916713,0.006082178070213827,0.005769087770892523,0.005908863057168379,0.005072320133019144,0.00511540899615672,0.005106809940646003,0.006453348359773357,0.005913586761813064,0.007418791895328256,0.003489051302391548,0.012970131628440709,0.006555758811547863,0.006953036906811909,0.0055948431835991545,0.005184816899827871,0.004504835943348151,0.006198197923290534
